,Balanced,Unbalanced_less_params,Unbalanced_same_params
0,0.7852017766979233,0.754223453931134,0.7603355984966402
1,0.7986029383850272,0.7878592308568392,0.7850499221745568
2,0.8034622831327588,0.7834554496792073,0.7965908659504195
3,0.8031585740860255,0.7874036672867393,0.7944269389924452
4,0.7967806841046278,0.7861888310998064,0.7982992293382939
5,0.8031206104551839,0.781405413613758,0.7916555939410045
6,0.8023613378383508,0.7829998861091074,0.7848601040203486
7,0.8097642458524733,0.7759006871417182,0.7919213393568961
8,0.8046011920580084,0.7839110132493071,0.7937435936372955
9,0.8061577009225163,0.7839110132493071,0.7893398124596637
10,0.8092327550206901,0.786112903838123,0.7968945749971528
11,0.8054363919365248,0.7870240309783227,0.7989446110626021
12,0.8102198094225732,0.7795072320716754,0.8068030826468243
13,0.8085494096655405,0.7855434493754982,0.8015261379598345
14,0.8101438821608898,0.7893398124596637,0.7932121028055124
15,0.8142059906609468,0.7840249041418321,0.7974640294597776
16,0.8036521012869671,0.7817091226604912,0.7960593751186363
17,0.8137124634600054,0.7852397403287651,0.7924907938195209
18,0.8089670096047986,0.7888842488895638,0.7951482479784366
19,0.8078660643103907,0.7860749402072814,0.7975399567214608
20,0.8047910102122167,0.7903268668615466,0.7960593751186363
21,0.811890209179606,0.7839110132493071,0.7995899927869101
22,0.8146615542310467,0.7915037394176379,0.7954139933943283
23,0.8095364640674234,0.7912379940017463,0.8029687559318173
24,0.8181921718993205,0.7870240309783227,0.792263012034471
25,0.8101818457917315,0.7896814851372386,0.7975399567214608
26,0.8093086822823735,0.7868721764549561,0.8017159561140428
27,0.8043734102729585,0.7835313769408906,0.7882009035344141
28,0.814623590600205,0.7837211950950989,0.7892259215671387
29,0.8052086101514749,0.7812535590903914,0.7928704301279375
30,0.8053984283056832,0.7859610493147564,0.7803424319501917
31,0.8101818457917315,0.7797729774875669,0.8020196651607759
32,0.8041456284879086,0.7796590865950419,0.78535363122129
33,0.8120420637029726,0.7820887589689078,0.7946167571466535
